"SEQ","JFAGY code","Allergen Term（JP）","Furigana（JP）","Allergen Term（EN）","Level","Main 100","Clinical Guideline","変更区分","収載日","終了日"
"1","GCM1112700X1ZZZ","【成分名】ハロタン","","","1","","","1","00000000","99999999"
"2","GCM1114700X1ZZZ","【成分名】麻酔用エーテル","","","1","","","1","00000000","99999999"
"3","GCM1115400X1ZZZ","【成分名】チオペンタールナトリウム","","","1","","","1","00000000","99999999"
"4","GCM1115403D3ZZZ","【成分名】チアミラールナトリウム","","","1","","","1","00000000","99999999"
"5","GCM1116700X1ZZZ","【成分名】亜酸化窒素","","","1","","","1","00000000","99999999"
"6","GCM1119400A1ZZZ","【成分名】ケタミン塩酸塩","","","1","","","1","00000000","99999999"
"7","GCM1119401A1ZZZ","【成分名】ドロペリドール","","","1","","","1","00000000","99999999"
"8","GCM1119402A1ZZZ","【成分名】プロポフォール","","","1","","","1","00000000","99999999"
"9","GCM1119403F1ZZZ","【成分名】レミマゾラムベシル酸塩","","","1","","","1","00000000","99999999"
"10","GCM1119701G1ZZZ","【成分名】イソフルラン","","","1","","","1","00000000","99999999"
"11","GCM1119702G1ZZZ","【成分名】セボフルラン","","","1","","","1","00000000","99999999"
"12","GCM1119703G1ZZZ","【成分名】デスフルラン","","","1","","","1","00000000","99999999"
"13","GCM1121001X1ZZZ","【成分名】ブロモバレリル尿素","","","1","","","1","00000000","99999999"
"14","GCM1123001X1ZZZ","【成分名】抱水クロラール","","","1","","","1","00000000","99999999"
"15","GCM1124001B1ZZZ","【成分名】エスタゾラム","","","1","","","1","00000000","99999999"
"16","GCM1124002M2ZZZ","【成分名】フルラゼパム塩酸塩","","","1","","","1","00000000","99999999"
"17","GCM1124003B1ZZZ","【成分名】ニトラゼパム","","","1","","","1","00000000","99999999"
"18","GCM1124005C1ZZZ","【成分名】ハロキサゾラム","","","1","","","1","00000000","99999999"
"19","GCM1124007F1ZZZ","【成分名】トリアゾラム","","","1","","","1","00000000","99999999"
"20","GCM1124008F1ZZZ","【成分名】フルニトラゼパム","","","1","","","1","00000000","99999999"
"21","GCM1124009F1ZZZ","【成分名】ブロチゾラム","","","1","","","1","00000000","99999999"
"22","GCM1124010F1ZZZ","【成分名】ロルメタゼパム","","","1","","","1","00000000","99999999"
"23","GCM1124013B1ZZZ","【成分名】オキサゾラム","","","1","","","1","00000000","99999999"
"24","GCM1124014B1ZZZ","【成分名】クロキサゾラム","","","1","","","1","00000000","99999999"
"25","GCM1124015M2ZZZ","【成分名】クロラゼプ酸二カリウム","","","1","","","1","00000000","99999999"
"26","GCM1124017B1ZZZ","【成分名】ジアゼパム","","","1","","","1","00000000","99999999"
"27","GCM1124019F1ZZZ","【成分名】フルジアゼパム","","","1","","","1","00000000","99999999"
"28","GCM1124020C1ZZZ","【成分名】ブロマゼパム","","","1","","","1","00000000","99999999"
"29","GCM1124021F1ZZZ","【成分名】メダゼパム","","","1","","","1","00000000","99999999"
"30","GCM1124022F1ZZZ","【成分名】ロラゼパム","","","1","","","1","00000000","99999999"
"31","GCM1124023F1ZZZ","【成分名】アルプラゾラム","","","1","","","1","00000000","99999999"
"32","GCM1124024C1ZZZ","【成分名】フルタゾラム","","","1","","","1","00000000","99999999"
"33","GCM1124025C1ZZZ","【成分名】メキサゾラム","","","1","","","1","00000000","99999999"
"34","GCM1124026C1ZZZ","【成分名】トフィソパム","","","1","","","1","00000000","99999999"
"35","GCM1124027F1ZZZ","【成分名】フルトプラゼパム","","","1","","","1","00000000","99999999"
