"SEQ","JFAGY code","Allergen Term（JP）","Furigana（JP）","Allergen Term（EN）","Level","Main 100","Clinical Guideline","変更区分","収載日","終了日"
"1","YCM1112700X1011","ハロタン","","","","","","1","00000000","00000000"
"2","YCM1114700X1016","麻酔用エーテル","","","","","","1","00000000","00000000"
"3","YCM1115400X1019","注射用チオペンタールナトリウム","","","","","","1","00000000","00000000"
"4","YCM1115400X1027","ラボナール注射用０．３ｇ","","","","","","1","00000000","00000000"
"5","YCM1115400X2015","注射用チオペンタールナトリウム","","","","","","1","00000000","00000000"
"6","YCM1115400X2023","ラボナール注射用０．５ｇ","","","","","","1","00000000","00000000"
"7","YCM1115403D3019","注射用チアミラールナトリウム","","","","","","1","00000000","00000000"
"8","YCM1115403D3043","イソゾール注射用０．５ｇ","","","","","","1","00000000","00000000"
"9","YCM1115403D3051","チトゾール注用０．５ｇ","","","","","","1","00000000","00000000"
"10","YCM1115403D4015","注射用チアミラールナトリウム","","","","","","1","00000000","00000000"
"11","YCM1115403D4031","チトゾール注用０．３ｇ","","","","","","1","00000000","00000000"
"12","YCM1116700X1010","亜酸化窒素","","","","","","1","00000000","00000000"
"13","YCM1116700X1037","笑気ガス（住友精化）","","","","","","1","00000000","20210331"
"14","YCM1116700X1045","マルワ亜酸化窒素","","","","","","1","00000000","00000000"
"15","YCM1116700X1053","液化亜酸化窒素＊（日本エア・リキード）","","","","","","1","00000000","00000000"
"16","YCM1116700X1061","液化亜酸化窒素＊（日産）","","","","","","1","00000000","00000000"
"17","YCM1116700X1088","小池笑気","","","","","","1","00000000","00000000"
"18","YCM1116700X1126","アネスタ","","","","","","1","00000000","00000000"
"19","YCM1119400A1031","ケタラール静注用２００ｍｇ","","","","","","1","00000000","00000000"
"20","YCM1119400A2038","ケタラール筋注用５００ｍｇ","","","","","","1","00000000","00000000"
"21","YCM1119400A3026","ケタラール静注用５０ｍｇ","","","","","","1","00000000","00000000"
"22","YCM1119401A1036","ドロレプタン注射液２５ｍｇ","","","","","","1","00000000","00000000"
"23","YCM1119402A1014","プロポフォール２００ｍｇ２０ｍＬ注射液","","","","","","1","00000000","20240331"
"24","YCM1119402A1022","１％ディプリバン注","","","","","","1","00000000","00000000"
"25","YCM1119402A1030","１％プロポフォール注「マルイシ」","","","","","","1","00000000","20200930"
"26","YCM1119402A1073","プロポフォール１％静注２０ｍＬ「日医工」","","","","","","1","00000000","00000000"
"27","YCM1119402A1103","プロポフォール静注１％２０ｍＬ「ＦＫ」","","","","","","1","00000000","00000000"
"28","YCM1119402A1111","プロポフォール１％静注２０ｍＬ「ファイザー」","","","","","","1","00000000","20230331"
"29","YCM1119402A1120","プロポフォール静注１％２０ｍＬ「マルイシ」","","","","","","1","00000000","00000000"
"30","YCM1119402A1138","プロポフォール１％静注２０ｍＬ「ＶＴＲＳ」","","","","","","1","00000000","00000000"
"31","YCM1119402A2010","プロポフォール５００ｍｇ５０ｍＬ注射液","","","","","","1","00000000","20240331"
"32","YCM1119402A2029","１％ディプリバン注","","","","","","1","00000000","00000000"
"33","YCM1119402A2037","１％プロポフォール注「マルイシ」","","","","","","1","00000000","20200930"
"34","YCM1119402A2100","プロポフォール１％静注５０ｍＬ「日医工」","","","","","","1","00000000","00000000"
"35","YCM1119402A2134","プロポフォール静注１％５０ｍＬ「ＦＫ」","","","","","","1","00000000","00000000"
"36","YCM1119402A2142","プロポフォール１％静注５０ｍＬ「ファイザー」","","","","","","1","00000000","20230331"
"37","YCM1119402A2150","プロポフォール静注１％５０ｍＬ「マルイシ」","","","","","","1","00000000","00000000"
"38","YCM1119402A2169","プロポフォール１％静注５０ｍＬ「ＶＴＲＳ」","","","","","","1","00000000","00000000"
"39","YCM1119402A3025","１％プロポフォール注「マルイシ」","","","","","","1","00000000","20200930"
"40","YCM1119402A3033","１％ディプリバン注","","","","","","1","00000000","00000000"
"41","YCM1119402A3050","プロポフォール１％静注１００ｍＬ「日医工」","","","","","","1","00000000","00000000"
"42","YCM1119402A3084","プロポフォール静注１％１００ｍＬ「ＦＫ」","","","","","","1","00000000","00000000"
"43","YCM1119402A3092","プロポフォール１％静注１００ｍＬ「ファイザー」","","","","","","1","00000000","20230331"
"44","YCM1119402A3106","プロポフォール静注１％１００ｍＬ「マルイシ」","","","","","","1","00000000","00000000"
"45","YCM1119402A3114","プロポフォール１％静注１００ｍＬ「ＶＴＲＳ」","","","","","","1","00000000","00000000"
"46","YCM1119402A5010","プロポフォール１ｇ５０ｍＬ注射液","","","","","","1","00000000","20240331"
"47","YCM1119402A5028","２％プロポフォール注「マルイシ」","","","","","","1","00000000","20200930"
"48","YCM1119402A5036","プロポフォール静注２％５０ｍＬ「マルイシ」","","","","","","1","00000000","00000000"
"49","YCM1119402G1025","１％ディプリバン注−キット","","","","","","1","00000000","00000000"
"50","YCM1119402G2021","１％ディプリバン注−キット","","","","","","1","00000000","00000000"
"51","YCM1119403F1024","アネレム静注用５０ｍｇ","","","","","","1","00000000","00000000"
"52","YCM1119701G1084","フォーレン吸入麻酔液","","","","","","1","00000000","20200331"
"53","YCM1119701G1092","イソフルラン吸入麻酔液「ファイザー」","","","","","","1","00000000","20230331"
"54","YCM1119701G1106","イソフルラン吸入麻酔液「ＶＴＲＳ」","","","","","","1","00000000","00000000"
"55","YCM1119702G1011","セボフルラン吸入液","","","","","","1","00000000","00000000"
"56","YCM1119702G1054","セボフルラン吸入麻酔液「マイラン」","","","","","","1","00000000","20230331"
"57","YCM1119702G1062","セボフレン吸入麻酔液","","","","","","1","00000000","00000000"
"58","YCM1119702G1070","セボフルラン吸入麻酔液「ニッコー」","","","","","","1","00000000","00000000"
"59","YCM1119702G1089","セボフルラン吸入麻酔液「ＶＴＲＳ」","","","","","","1","00000000","00000000"
"60","YCM1119703G1024","スープレン吸入麻酔液","","","","","","1","00000000","00000000"
"61","YCM1121001X1018","ブロモバレリル尿素","","","","","","1","00000000","00000000"
"62","YCM1121001X1042","ブロムワレリル尿素「三恵」","","","","","","1","00000000","20220331"
"63","YCM1121001X1107","ブロムワレリル尿素「ホエイ」","","","","","","1","00000000","00000000"
"64","YCM1121001X1131","ブロムワレリル尿素＊（山善）","","","","","","1","00000000","20200331"
"65","YCM1121001X1204","ブロバリン原末","","","","","","1","00000000","20230331"
"66","YCM1121001X1220","ブロムワレリル尿素「ＪＧ」","","","","","","1","00000000","20230331"
"67","YCM1121001X1239","ブロモバレリル尿素原末「マルイシ」","","","","","","1","00000000","20230331"
"68","YCM1123001X1012","抱水クロラール","","","","","","1","00000000","00000000"
"69","YCM1123700J1020","エスクレ坐剤「２５０」","","","","","","1","00000000","00000000"
"70","YCM1123700J2027","エスクレ坐剤「５００」","","","","","","1","00000000","00000000"
"71","YCM1123700X1023","エスクレ注腸用キット「５００」","","","","","","1","00000000","00000000"
"72","YCM1124001B1039","ユーロジン散１％","","","","","","1","00000000","00000000"
"73","YCM1124001F1014","エスタゾラム１ｍｇ錠","","","","","","1","00000000","20240331"
"74","YCM1124001F1022","ユーロジン１ｍｇ錠","","","","","","1","00000000","00000000"
"75","YCM1124001F1030","エスタゾラム錠１ｍｇ「アメル」","","","","","","1","00000000","00000000"
"76","YCM1124001F2010","エスタゾラム２ｍｇ錠","","","","","","1","00000000","00000000"
"77","YCM1124001F2029","ユーロジン２ｍｇ錠","","","","","","1","00000000","00000000"
"78","YCM1124001F2037","エスタゾラム錠２ｍｇ「アメル」","","","","","","1","00000000","00000000"
"79","YCM1124002M2022","ダルメートカプセル１５","","","","","","1","00000000","00000000"
"80","YCM1124003B1070","ネルボン散１％","","","","","","1","00000000","00000000"
"81","YCM1124003C1092","ベンザリン細粒１％","","","","","","1","00000000","00000000"
"82","YCM1124003C1114","ニトラゼパム細粒１％「ＴＣＫ」","","","","","","1","00000000","00000000"
"83","YCM1124003F1021","ベンザリン錠２","","","","","","1","00000000","00000000"
"84","YCM1124003F2010","ニトラゼパム５ｍｇ錠","","","","","","1","00000000","00000000"
"85","YCM1124003F2222","ベンザリン錠５","","","","","","1","00000000","00000000"
"86","YCM1124003F2230","ネルボン錠５ｍｇ","","","","","","1","00000000","00000000"
"87","YCM1124003F2249","ニトラゼパム錠５ｍｇ「トーワ」","","","","","","1","00000000","00000000"
"88","YCM1124003F2265","ニトラゼパム錠５ｍｇ「ＪＧ」","","","","","","1","00000000","00000000"
"89","YCM1124003F2273","ニトラゼパム錠５ｍｇ「ツルハラ」","","","","","","1","00000000","00000000"
