DISPLAYSEQ,JFAGYCODE,JPTERM,JPKANA,ENTERM,LEVEL,MAINFLAG,GUIDELINE,CXGCATEGORY,RECORDDATE,ENDDATE
1,D9M000000000,非食品・非医薬品,ひしょくひん・ひいやくひん,Non-food non-medication,1,1,,0,00000000,99999999
2,D9F000000000,動物,どうぶつ,Animals,1,1,,0,00000000,99999999
3,D9N000000000,鳥類,ちょうるい,Birds,1,1,,0,00000000,99999999
4,00F,アヒル,あひる,Duck,1,1,1,0,00000000,99999999
5,J9FA00000000,アヒル羽毛,あひるうもう,Duck feathers,2,1,,0,00000000,99999999
6,J9FA11000000,オウム,おうむ,Parrot,3,,,0,00000000,99999999
7,J9FA12000000,オウム羽毛,おうむうもう,Parrot feathers,3,1,,0,00000000,99999999
8,J9FA12000011,ガチョウ,がちょう,Goose,6,,1,0,00000000,99999999
9,J9FA13000000,ガチョウ羽毛,がちょううもう,Goose feathers,3,1,,0,00000000,99999999
10,J9FA13000011,カナリヤ,かなりや,Canary,6,,,0,00000000,99999999
11,J9FA13000012,カナリヤ羽毛,かなりやうもう,Canary feathers,6,,,0,00000000,99999999
12,J9FA14000000,ニワトリ,にわとり,Chicken,3,1,,0,00000000,99999999
13,J9FA14000011,ニワトリ羽毛,にわとりうもう,Chicken feathers,6,,1,0,00000000,99999999
14,J9FA14000012,セキセイインコ,せきせいいんこ,Budgerigar,6,,,0,00000000,99999999
15,J9FA15000000,セキセイインコ羽毛,せきせいいんこうもう,Budgerigar feathers,3,1,1,0,00000000,99999999
16,J9FA15000011,セキセイインコのふん,せきせいいんこのふん,Budgerigar feces,6,,,0,00000000,99999999
17,J9FA15000012,セキセイインコ血清蛋白,せきせいいんこけっせいたんぱく,Budgerigar serum protein,6,,1,0,00000000,99999999
18,J9FA15000013,ハト,はと,Pigeon,6,,1,0,00000000,99999999
19,J9FA15000014,ハトのふん,はとのふん,Pigeon feces,6,,1,0,00000000,99999999
20,J9FA15000015,鳥類（その他）,ちょうるい（そのた）,Birds (Other),6,,1,0,00000000,99999999
21,J9FA15000016,鳥類（詳細不明）,ちょうるい（しょうさいふめい）,Birds (N.O.S),6,,1,0,00000000,99999999
22,J9FA15000017,哺乳類,ほにゅうるい,Mammals,6,,,0,00000000,99999999
23,J9FA15000018,イヌ,いぬ,Dog,6,,,0,00000000,99999999
24,J9FA15110000,イヌ上皮,いぬじょうひ,Dog epithelium,4,,,0,00000000,99999999
25,J9FA15120000,イヌ皮屑,いぬひせつ,Dog dander,4,,,0,00000000,99999999
26,J9FA15120011,ウサギ,うさぎ,Rabbit,6,,,0,00000000,99999999
27,J9FA15980000,ウサギ上皮,うさぎじょうひ,Rabbit epithelium,4,,,0,00000000,99999999
28,J9FA15990000,ウサギ皮屑,うさぎひせつ,Rabbit dander,4,,,0,00000000,99999999
29,J9FA16000000,ウシ,うし,Cow,3,,,0,00000000,99999999
30,J9FA17000000,ウシ皮屑,うしひせつ,Cow dander,3,,,0,00000000,99999999
31,J9FA17000011,ウマ,うま,Horse,6,,,0,00000000,99999999
32,J9FA18000000,ウマ皮屑,うまひせつ,Horse dander,3,,,0,00000000,99999999
33,J9FA19000000,ネコ,ねこ,Cat,3,,,0,00000000,99999999
34,J9FA19000011,ネコ上皮,ねこじょうひ,Cat epithelium,6,,,0,00000000,99999999
35,J9FA19110000,ネコ皮屑,ねこひせつ,Cat dander,4,1,1,0,00000000,99999999
36,J9FA19110011,ハムスター,はむすたー,Hamster,6,,,0,00000000,99999999
37,J9FA19110012,ハムスター上皮,はむすたーじょうひ,Hamster epithelium,6,,,0,00000000,99999999
38,J9FA19120000,ヒツジ,ひつじ,Sheep,4,,,0,00000000,99999999
39,J9FA19130000,ヒツジ上皮,ひつじじょうひ,Sheep epithelium,4,,,0,00000000,99999999
40,J9FA19140000,ブタ,ぶた,Pig,4,1,1,0,00000000,99999999
41,J9FA19140011,ブタ上皮,ぶたじょうひ,Pig epithelium,6,,1,0,00000000,99999999
42,J9FA19140012,マウス,まうす,Mouse,6,,,0,00000000,99999999
43,J9FA19140013,マウス上皮,まうすじょうひ,Mouse epithelium,6,,,0,00000000,99999999
44,J9FA19140014,マウス皮屑,まうすひせつ,Mouse dander,6,,,0,00000000,99999999
45,J9FA19150000,マウス血清蛋白,まうすけっせいたんぱく,Mouse serum protein,4,,,0,00000000,99999999
46,J9FA19160000,マウス尿蛋白,まうすにょうたんぱく,Mouse urine protein,4,,,0,00000000,99999999
47,J9FA19170000,モルモット,もるもっと,Guinea pig,4,,,0,00000000,99999999
48,J9FA19180000,モルモット上皮,もるもっとじょうひ,Guinea pig epithelium,4,,,0,00000000,99999999
49,J9FA19190000,ヤギ,やぎ,Goat,4,,,0,00000000,99999999
50,J9FA19980000,ヤギ上皮,やぎじょうひ,Goat epithelium,4,,,0,00000000,99999999
51,J9FA19990000,ラット,らっと,Rat,4,,,0,00000000,99999999
52,J9FA21000000,ラット上皮,らっとじょうひ,Rat epithelium,3,1,,0,00000000,99999999
53,J9FA21000011,ラット皮屑,らっとひせつ,Rat dander,6,,,0,00000000,99999999
54,J9FA21000012,ラット血清蛋白,らっとけっせいたんぱく,Rat serum protein,6,,,0,00000000,99999999
55,J9FA21000013,ラット尿蛋白,らっとにょうたんぱく,Rat urine protein,6,,,0,00000000,99999999
56,J9FA21110000,哺乳類（その他）,ほにゅうるい（そのた）,Mammals (Other),4,1,1,0,00000000,99999999
57,J9FA21110011,哺乳類（詳細不明）,ほにゅうるい（しょうさいふめい）,Mammals (N.O.S),6,,,0,00000000,99999999
58,J9FA21110012,植物,しょくぶつ,Plants,6,1,1,0,00000000,99999999
59,J9FA21110013,イネ科,いねか,Poaceae,6,,,0,00000000,99999999
60,J9FA21110014,ハルガヤ,はるがや,False oat-grass,6,,,0,00000000,99999999
61,J9FA21110015,ギョウギシバ,ぎょうぎしば,Bermuda grass,6,,,0,00000000,99999999
62,J9FA21110016,カモガヤ,かもがや,Timothy grass,6,,,0,00000000,99999999
63,J9FA21110017,ヒロハウシノケグサ,ひろはうしのけぐさ,Orchard grass,6,1,1,0,00000000,99999999
64,J9FA21110018,ホソムギ,ほそむぎ,Ryegrass,6,,,0,00000000,99999999
65,J9FA21110019,オオアワガエリ,おおあわがえり,Italian ryegrass,6,1,1,0,00000000,99999999
66,J9FA21110021,アシ,あし,Common reed,6,,,0,00000000,99999999
67,J9FA21120000,ナガハグサ,ながはぐさ,Tall fescue,4,1,,0,00000000,99999999
68,J9FA21120011,コヌカグサ,こぬかぐさ,Barnyard grass,6,,,0,00000000,99999999
69,J9FA21120012,セイバンモロコシ,せいばんもろこし,Sorghum,6,,,0,00000000,99999999
70,J9FA21120013,コスズメノチャヒキ,こすずめのちゃひき,Annual bluegrass,6,,,0,00000000,99999999
71,J9FA21130000,ライ麦花粉,らいむぎかふん,Rye pollen,4,,,0,00000000,99999999
72,J9FA21130011,シラゲガヤ,しらげがや,Redtop,6,,,0,00000000,99999999
73,J9FA21131100,オート麦花粉,おーとむぎかふん,Oat pollen,5,,,0,00000000,99999999
74,J9FA21131200,小麦花粉,こむぎかふん,Wheat pollen,5,,,0,00000000,99999999
75,J9FA21131300,オオスズメノテッポウ,おおすずめのてっぽう,Canary grass,5,,,0,00000000,99999999
76,J9FA21131400,スズメノヒエ,すずめのひえ,Crabgrass,5,,,0,00000000,99999999
77,J9FA21131500,大麦花粉,おおむぎかふん,Barley pollen,5,,,0,00000000,99999999
78,J9FA21131600,トウモロコシ花粉,とうもろこしかふん,Corn pollen,5,,,0,00000000,99999999
79,J9FA21140000,サトウキビ,さとうきび,Sugarcane,4,,1,0,00000000,99999999
80,J9FA21141100,イネ科（その他）,いねか（そのた）,Poaceae (Other),5,,,0,00000000,99999999
81,J9FA21141200,イネ科（詳細不明）,いねか（しょうさいふめい）,Poaceae (N.O.S),5,,,0,00000000,99999999
82,J9FA21141300,草花,くさばな,Grass flowers,5,,,0,00000000,99999999
83,J9FA21150000,アオゲイトウ,あおげいとう,Amaranth,4,,,0,00000000,99999999
84,J9FA21170000,アキノキリンソウ,あきのきりんそう,Goldenrod,4,,,0,00000000,99999999
85,J9FA21180000,イソホウキ,いそほうき,Sea lavender,4,1,1,0,00000000,99999999
86,J9FA21180011,イラクサ,いらくさ,Nettle,6,,,0,00000000,99999999
87,J9FA21180012,オオブタクサ,おおぶたくさ,Giant ragweed,6,,,0,00000000,99999999
88,J9FA21190000,オカヒジキ,おかひじき,Saltwort,4,,,0,00000000,99999999
89,J9FA21210000,オナモミ,おなもみ,Cocklebur,4,,,0,00000000,99999999
90,J9FA21220000,カナムグラ,かなむぐら,Hop,4,,1,0,00000000,99999999
91,J9FA21230000,カミツレ,かみつれ,Chamomile,4,,,0,00000000,99999999
92,J9FA21980000,サクラソウ,さくらそう,Primrose,4,,,0,00000000,99999999
93,J9FA21990000,プリミン,ぷりみん,Primine,4,,,0,00000000,99999999
94,J9FA22000000,シロザ,しろざ,Lamb's quarters,3,,,0,00000000,99999999
95,J9FA22110000,タンポポ,たんぽぽ,Dandelion,4,,,0,00000000,99999999
96,J9FA22111100,チューリップ,ちゅーりっぷ,Tulip,5,,,0,00000000,99999999
97,J9FA22111200,ナタネ,なたね,Rapeseed,5,,,0,00000000,99999999
98,J9FA22111300,ニガヨモギ,にがよもぎ,Wormwood,5,,,0,00000000,99999999
99,J9FA22111400,ハマアカザ,はまあかざ,Sea beet,5,,,0,00000000,99999999
100,J9FA22980000,バラ,ばら,Rose,4,,,0,00000000,99999999
101,J9FA22990000,ヒカゲミズ,ひかげみず,Water hemlock,4,,,0,00000000,99999999
102,J9FA23000000,ヒメスイバ,ひめすいぱ,Sheep sorrel,3,,,0,00000000,99999999
103,J9FA23110000,ブタクサ,ぶたくさ,Ragweed,4,,,0,00000000,99999999
104,J9FA23120000,ブタクサモドキ,ぶたくさもどき,False ragweed,4,,,0,00000000,99999999
105,J9FA23980000,フランスギク,ふらんすぎく,Oxeye daisy,4,,,0,00000000,99999999
106,J9FA23990000,ヘラオオバコ,へらおおばこ,Plantain,4,,,0,00000000,99999999
107,J9FA24000000,ヨモギ,よもぎ,Mugwort,3,1,,0,00000000,99999999
108,J9FA24110000,ツユクサ,つゆくさ,Dayflower,4,,1,0,00000000,99999999
109,J9FA24111100,アロエベラ,あろえべら,Aloe vera,5,,,0,00000000,99999999
110,J9FA24111200,キダチアロエ,きだちあろえ,Aloe arborescens,5,,,0,00000000,99999999
111,J9FA24111300,ポトス,ぽとす,Pothos,5,,,0,00000000,99999999
112,J9FA24111400,ディフェンバキア,でぃふぇんぱきあ,Dieffenbachia,5,,,0,00000000,99999999
113,J9FA24120000,ホップ,ほっぷ,Hops,4,,,0,00000000,99999999
114,J9FA24130000,キク,きく,Chrysanthemum,4,,1,0,00000000,99999999
115,J9FA24131100,マーガレット,まーがれっと,Marguerite,5,,,0,00000000,99999999
116,J9FA24131200,ひまわり,ひまわり,Sunflower,5,,,0,00000000,99999999
117,J9FA24140000,ダリア,だりあ,Dahlia,4,,,0,00000000,99999999
118,J9FA24141200,テンサイ,てんさい,Sugar beet,5,,,0,00000000,99999999
119,J9FA24150000,ユリ,ゆり,Lily,4,,,0,00000000,99999999
120,J9FA24160000,麻,あさ,Hemp,4,,,0,00000000,99999999
121,J9FA24160011,センニンソウ,せんにんそう,Clematis,6,,,0,00000000,99999999
122,J9FA24160012,キツネノボタン,きつねのぼたん,Buttercup,6,,,0,00000000,99999999
123,J9FA24160013,トキワザクラ,ときわざくら,Evergreen cherry,6,,,0,00000000,99999999
124,J9FA24170000,オトメザクラ,おとめざくら,Maiden cherry,4,,1,0,00000000,99999999
125,J9FA24170011,カクレミノ,かくれみの,Dwarf umbrella tree,6,,,0,00000000,99999999
126,J9FA24180000,ヤツデ,やつで,Japanese aralia,4,,1,0,00000000,99999999
127,J9FA24181100,キヅタ,きづた,Ivy,5,,,0,00000000,99999999
128,J9FA24181200,草花（その他）,くさばな（そのた）,Grass flowers (Other),5,,,0,00000000,99999999
129,J9FA24181300,草花（詳細不明）,くさばな（しょうさいふめい）,Grass flowers (N.O.S),5,,,0,00000000,99999999
130,J9FA24181400,樹木,じゅもく,Trees,5,,,0,00000000,99999999
131,J9FA24181500,カユプテ,かゆぷて,Cajeput,5,,,0,00000000,99999999
132,J9FA24181600,アカシヤ,あかしや、あかしあ,Acacia,5,,,0,00000000,99999999
133,J9FA24190000,ウルシ,うるし,Lacquer tree,4,1,1,0,00000000,99999999
134,J9FA24191100,ウルシオール,うるしおーる,Urushiol,5,,,0,00000000,99999999
135,J9FA24191200,ヤマハゼ,やまはぜ,Japanese wax tree,5,,,0,00000000,99999999
136,J9FA24210000,ハゼノキ,はぜのき,Wax tree,4,,,0,00000000,99999999
137,J9FA24220000,オオバヤシャブシ,おおばやしゃぶし,Japanese green alder,4,,,0,00000000,99999999
138,J9FA24230000,オリーブ,おりーぶ,Olive,4,,,0,00000000,99999999
139,J9FA24240000,カエデ,かえで,Maple,4,,,0,00000000,99999999
140,J9FA24250000,カエデバスズカケノキ,かえでばすすかけのき,Plane tree,4,,,0,00000000,99999999
141,J9FA24260000,カシ,かし,Oak,4,,,0,00000000,99999999
142,J9FA24270000,ニレ,にれ,Elm,4,,,0,00000000,99999999
143,J9FA24980000,ニワトコ,にわとこ,Elderberry,4,,,0,00000000,99999999
144,J9FA24990000,クリの木,くりのき,Chestnut tree,4,,,0,00000000,99999999
145,J9FA25000000,クルミの木,くるみのき,Walnut tree,3,,,0,00000000,99999999
146,J9FA25110000,クログルミの木,くろぐるみのき,Black walnut tree,4,,,0,00000000,99999999
147,J9FA25111100,クワ,くわ,Mulberry,5,,,0,00000000,99999999
148,J9FA25120000,コナラ,こなら,Konara oak,4,,1,0,00000000,99999999
